season,months,days,block,clock_hours,hours,share_of_year
S1,"Dec, Jan",62 d,H1,00–03,4 h,2.83%
S1,"Dec, Jan",62 d,H2,04–07,4 h,2.83%
S1,"Dec, Jan",62 d,H3,08–11,4 h,2.83%
S1,"Dec, Jan",62 d,H4,12–15,4 h,2.83%
S1,"Dec, Jan",62 d,H5,16–19,4 h,2.83%
S1,"Dec, Jan",62 d,H6,20–23,4 h,2.83%
S2,"Feb, Mar",59 d,H1,00–03,4 h,2.69%
S2,"Feb, Mar",59 d,H2,04–07,4 h,2.69%
S2,"Feb, Mar",59 d,H3,08–11,4 h,2.69%
S2,"Feb, Mar",59 d,H4,12–15,4 h,2.69%
S2,"Feb, Mar",59 d,H5,16–19,4 h,2.69%
S2,"Feb, Mar",59 d,H6,20–23,4 h,2.69%
S3,"Apr, May",61 d,H1,00–03,4 h,2.79%
S3,"Apr, May",61 d,H2,04–07,4 h,2.79%
S3,"Apr, May",61 d,H3,08–11,4 h,2.79%
S3,"Apr, May",61 d,H4,12–15,4 h,2.79%
S3,"Apr, May",61 d,H5,16–19,4 h,2.79%
S3,"Apr, May",61 d,H6,20–23,4 h,2.79%
S4,"Jun, Jul",61 d,H1,00–03,4 h,2.79%
S4,"Jun, Jul",61 d,H2,04–07,4 h,2.79%
S4,"Jun, Jul",61 d,H3,08–11,4 h,2.79%
S4,"Jun, Jul",61 d,H4,12–15,4 h,2.79%
S4,"Jun, Jul",61 d,H5,16–19,4 h,2.79%
S4,"Jun, Jul",61 d,H6,20–23,4 h,2.79%
S5,"Aug, Sep",61 d,H1,00–03,4 h,2.79%
S5,"Aug, Sep",61 d,H2,04–07,4 h,2.79%
S5,"Aug, Sep",61 d,H3,08–11,4 h,2.79%
S5,"Aug, Sep",61 d,H4,12–15,4 h,2.79%
S5,"Aug, Sep",61 d,H5,16–19,4 h,2.79%
S5,"Aug, Sep",61 d,H6,20–23,4 h,2.79%
S6,"Oct, Nov",61 d,H1,00–03,4 h,2.79%
S6,"Oct, Nov",61 d,H2,04–07,4 h,2.79%
S6,"Oct, Nov",61 d,H3,08–11,4 h,2.79%
S6,"Oct, Nov",61 d,H4,12–15,4 h,2.79%
S6,"Oct, Nov",61 d,H5,16–19,4 h,2.79%
S6,"Oct, Nov",61 d,H6,20–23,4 h,2.79%
