season,months,days,block,clock_hours,hours,share_of_year
S1,"Dec, Jan",62 d,H1,00–05,6 h,4.25%
S1,"Dec, Jan",62 d,H2,06–07,2 h,1.42%
S1,"Dec, Jan",62 d,H3,08–11,4 h,2.83%
S1,"Dec, Jan",62 d,H4,12–15,4 h,2.83%
S1,"Dec, Jan",62 d,H5,16–17,2 h,1.42%
S1,"Dec, Jan",62 d,H6,18–18,1 h,0.71%
S1,"Dec, Jan",62 d,H7,19–21,3 h,2.12%
S1,"Dec, Jan",62 d,H8,22–23,2 h,1.42%
S2,"Feb, Mar",59 d,H1,00–05,6 h,4.04%
S2,"Feb, Mar",59 d,H2,06–07,2 h,1.35%
S2,"Feb, Mar",59 d,H3,08–11,4 h,2.69%
S2,"Feb, Mar",59 d,H4,12–15,4 h,2.69%
S2,"Feb, Mar",59 d,H5,16–17,2 h,1.35%
S2,"Feb, Mar",59 d,H6,18–18,1 h,0.67%
S2,"Feb, Mar",59 d,H7,19–21,3 h,2.02%
S2,"Feb, Mar",59 d,H8,22–23,2 h,1.35%
S3,"Apr, May",61 d,H1,00–05,6 h,4.18%
S3,"Apr, May",61 d,H2,06–07,2 h,1.39%
S3,"Apr, May",61 d,H3,08–11,4 h,2.79%
S3,"Apr, May",61 d,H4,12–15,4 h,2.79%
S3,"Apr, May",61 d,H5,16–17,2 h,1.39%
S3,"Apr, May",61 d,H6,18–18,1 h,0.70%
S3,"Apr, May",61 d,H7,19–21,3 h,2.09%
S3,"Apr, May",61 d,H8,22–23,2 h,1.39%
S4,"Jun, Jul",61 d,H1,00–05,6 h,4.18%
S4,"Jun, Jul",61 d,H2,06–07,2 h,1.39%
S4,"Jun, Jul",61 d,H3,08–11,4 h,2.79%
S4,"Jun, Jul",61 d,H4,12–15,4 h,2.79%
S4,"Jun, Jul",61 d,H5,16–17,2 h,1.39%
S4,"Jun, Jul",61 d,H6,18–18,1 h,0.70%
S4,"Jun, Jul",61 d,H7,19–21,3 h,2.09%
S4,"Jun, Jul",61 d,H8,22–23,2 h,1.39%
S5,"Aug, Sep",61 d,H1,00–05,6 h,4.18%
S5,"Aug, Sep",61 d,H2,06–07,2 h,1.39%
S5,"Aug, Sep",61 d,H3,08–11,4 h,2.79%
S5,"Aug, Sep",61 d,H4,12–15,4 h,2.79%
S5,"Aug, Sep",61 d,H5,16–17,2 h,1.39%
S5,"Aug, Sep",61 d,H6,18–18,1 h,0.70%
S5,"Aug, Sep",61 d,H7,19–21,3 h,2.09%
S5,"Aug, Sep",61 d,H8,22–23,2 h,1.39%
S6,"Oct, Nov",61 d,H1,00–05,6 h,4.18%
S6,"Oct, Nov",61 d,H2,06–07,2 h,1.39%
S6,"Oct, Nov",61 d,H3,08–11,4 h,2.79%
S6,"Oct, Nov",61 d,H4,12–15,4 h,2.79%
S6,"Oct, Nov",61 d,H5,16–17,2 h,1.39%
S6,"Oct, Nov",61 d,H6,18–18,1 h,0.70%
S6,"Oct, Nov",61 d,H7,19–21,3 h,2.09%
S6,"Oct, Nov",61 d,H8,22–23,2 h,1.39%
